index,isVul,category,filename
1,True,信息泄漏类,unit\信息泄漏类\敏感信息泄露\系统信息泄漏\testcode0.js
2,True,信息泄漏类,unit\信息泄漏类\敏感信息泄露\系统信息泄漏\testcode1.js
3,True,信息泄漏类,unit\信息泄漏类\敏感信息泄露\系统信息泄漏\testcode2.js
4,True,信息泄漏类,unit\信息泄漏类\敏感信息泄露\系统信息泄漏\testcode3.ts
5,True,信息泄漏类,unit\信息泄漏类\隐私泄漏\隐私泄漏（Privacy_Violation）\testcode0.js
6,True,信息泄漏类,unit\信息泄漏类\隐私泄漏\隐私泄漏（Privacy_Violation）\testcode1.js
7,True,信息泄漏类,unit\信息泄漏类\隐私泄漏\隐私泄漏（Privacy_Violation）\testcode2.js
8,True,信息泄漏类,unit\信息泄漏类\隐私泄漏\隐私泄漏（Privacy_Violation）\testcode3.js
9,True,加解密类,unit\加解密类\伪加密\伪加密\testcode0.js
10,True,加解密类,unit\加解密类\密码管理\Null_值密码\testcode0.js
11,True,加解密类,unit\加解密类\密码管理\密码管理（Password_Management）\testcode0.js
12,True,加解密类,unit\加解密类\密码管理\硬编码密码\testcode0.js
13,True,加解密类,unit\加解密类\密码管理\硬编码密码\testcode1.js
14,True,加解密类,unit\加解密类\密码管理\空密码\testcode0.js
15,True,加解密类,unit\加解密类\弱伪随机数\弱伪随机数（Insecure_Randomness）\testcode0.js
16,True,加解密类,unit\加解密类\弱伪随机数\弱伪随机数（Insecure_Randomness）\testcode1.js
17,True,加解密类,unit\加解密类\弱伪随机数\弱伪随机数（Insecure_Randomness）\testcode2.js
18,True,加解密类,unit\加解密类\弱伪随机数\弱伪随机数（Insecure_Randomness）\testcode3.js
19,True,加解密类,unit\加解密类\弱加密\Key_长度不足（Insufficient_Key_Size）\testcode0.js
20,True,加解密类,unit\加解密类\弱加密\Key_长度不足（Insufficient_Key_Size）\testcode1.js
21,True,加解密类,unit\加解密类\弱加密\弱加密\testcode0.js
22,True,加解密类,unit\加解密类\弱加密\弱加密\testcode1.js
23,True,加解密类,unit\加解密类\弱加密\弱加密\testcode2.js
24,True,加解密类,unit\加解密类\弱加密\弱加密\testcode3.js
25,True,加解密类,unit\加解密类\弱加密\弱加密\testcode4.js
26,True,加解密类,unit\加解密类\弱加密\弱加密\testcode5.js
27,True,加解密类,unit\加解密类\弱安全哈希函数\弱安全哈希函数（Weak_Cryptographic_Hash）\testcode0.js
28,True,加解密类,unit\加解密类\弱安全哈希函数\弱安全哈希函数（Weak_Cryptographic_Hash）\testcode1.js
29,True,加解密类,unit\加解密类\弱安全哈希函数\弱安全哈希函数（Weak_Cryptographic_Hash）\testcode2.ts
30,True,加解密类,unit\加解密类\弱安全哈希函数\弱安全哈希函数（Weak_Cryptographic_Hash）\testcode3.js
31,True,变量操控类,unit\变量操控类\null_解引用\null或undefined解引用\testcode0.js
32,True,变量操控类,unit\变量操控类\null_解引用\null或undefined解引用\testcode1.ts
33,True,变量操控类,unit\变量操控类\null_解引用\null或undefined解引用\testcode2.js
34,True,变量操控类,unit\变量操控类\null_解引用\null或undefined解引用\testcode3.js
35,True,变量操控类,unit\变量操控类\null_解引用\null或undefined解引用\testcode4.js
36,True,变量操控类,unit\变量操控类\变量使用\使用未定义的变量\testcode0.js
37,True,变量操控类,unit\变量操控类\变量使用\使用未定义的变量\testcode1.js
38,True,变量操控类,unit\变量操控类\变量使用\使用未定义的变量\testcode2.js
39,True,变量操控类,unit\变量操控类\变量使用\未声明就使用\testcode0.js
40,True,变量操控类,unit\变量操控类\变量使用\未声明就使用\testcode1.js
41,True,变量操控类,unit\变量操控类\变量使用\未声明就使用\testcode2.js
42,True,变量操控类,unit\变量操控类\变量使用\未声明就使用\testcode3.js
43,True,变量操控类,unit\变量操控类\外部API污染\外部API污染\testcode0.js
44,True,变量操控类,unit\变量操控类\外部API污染\外部API污染\testcode1.js
45,True,变量操控类,unit\变量操控类\常量\对常量进行修改\testcode0.js
46,True,安全控制类,unit\安全控制类\访问控制\数据库访问控制\testcode0.js
47,True,安全控制类,unit\安全控制类\访问控制\数据库访问控制\testcode2.js
48,True,安全控制类,unit\安全控制类\跨站请求伪造\跨站请求伪造（Cross-Site_Request_Forgery）\testcode0.js
49,True,安全控制类,unit\安全控制类\跨站请求伪造\跨站请求伪造（Cross-Site_Request_Forgery）\testcode1.js
50,True,异步调用类,unit\异步调用类\Promise处理\未处理被拒绝的_Promise\testcode0.js
51,True,异步调用类,unit\异步调用类\Promise处理\未处理被拒绝的_Promise\testcode1.js
52,True,异步调用类,unit\异步调用类\Promise处理\未处理被拒绝的_Promise\testcode3.js
53,True,异步调用类,unit\异步调用类\Promise处理\未处理被拒绝的_Promise\testcode4.js
54,False,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_10_(0_False_9_async_await).js
55,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_11_(0_True_10_Array_遍历_forEach_map_reduce).js
56,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_12_(0_True_11_try_catch_在_try_块中传递污染数据).js
57,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_13_(0_True_12_在_catch_中意外传递污染数据).js
58,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_14_(0_True_13_通过_finally_块传递).js
59,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_15_(0_True_14_async_await).js
60,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_16_(0_True_15_竞态).js
61,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_17_(0_True_1_传递到字段上).js
62,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_18_(0_True_2_传递到函数).js
63,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_19_(0_True_3_if语句).js
64,False,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_1_(0_False_10_竞态).js
65,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_20_(0_True_4_switch语句).js
66,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_21_(0_True_5_Map).js
67,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_22_(0_True_6_Map_遍历_key_value).js
68,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_23_(0_True_7_Map_遍历_key).js
69,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_24_(0_True_8_Array).js
70,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_25_(0_True_9_Array_遍历_index_for_of).js
71,False,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_2_(0_False_1_传递到函数).js
72,False,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_3_(0_False_2_if语句).js
73,False,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_4_(0_False_3_switch语句).js
74,False,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_5_(0_False_4_Map).js
75,False,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_6_(0_False_5_Array).js
76,False,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_7_(0_False_6_try_catch_在_try_块中传递污染数据).js
77,False,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_8_(0_False_7_在_catch_中意外传递污染数据).js
78,False,污染注入类,unit\污染注入类\JSON\JSON_注入\testcase_9_(0_False_8_通过_finally_块传递).js
79,True,污染注入类,unit\污染注入类\JSON\JSON_注入\testcode0.js
80,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_10_(0_False_9_async_await).js
81,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_10_(1_False_9_async_await).js
82,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_11_(0_True_10_Array_遍历_forEach_map_reduce).js
83,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_11_(1_True_10_Array_遍历_forEach_map_reduce).js
84,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_12_(0_True_11_try_catch_在_try_块中传递污染数据).js
85,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_12_(1_True_11_try_catch_在_try_块中传递污染数据).js
86,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_13_(0_True_12_在_catch_中意外传递污染数据).js
87,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_13_(1_True_12_在_catch_中意外传递污染数据).js
88,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_14_(0_True_13_通过_finally_块传递).js
89,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_14_(1_True_13_通过_finally_块传递).js
90,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_15_(0_True_14_async_await).js
91,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_15_(1_True_14_async_await).js
92,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_16_(0_True_15_竞态).js
93,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_16_(1_True_15_竞态).js
94,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_17_(0_True_1_传递到字段上).js
95,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_17_(1_True_1_传递到字段上).js
96,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_18_(0_True_2_传递到函数).js
97,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_18_(1_True_2_传递到函数).js
98,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_19_(0_True_3_if语句).js
99,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_19_(1_True_3_if语句).js
100,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_1_(0_False_10_竞态).js
101,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_1_(1_False_10_竞态).js
102,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_20_(0_True_4_switch语句).js
103,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_20_(1_True_4_switch语句).js
104,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_21_(0_True_5_Map).js
105,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_21_(1_True_5_Map).js
106,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_22_(0_True_6_Map_遍历_key_value).js
107,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_22_(1_True_6_Map_遍历_key_value).js
108,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_23_(0_True_7_Map_遍历_key).js
109,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_23_(1_True_7_Map_遍历_key).js
110,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_24_(0_True_8_Array).js
111,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_24_(1_True_8_Array).js
112,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_25_(0_True_9_Array_遍历_index_for_of).js
113,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_25_(1_True_9_Array_遍历_index_for_of).js
114,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_26_(0_False_10_竞态).js
115,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_27_(0_False_1_传递到函数).js
116,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_28_(0_False_2_if语句).js
117,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_29_(0_False_3_switch语句).js
118,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_2_(0_False_1_传递到函数).js
119,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_2_(1_False_1_传递到函数).js
120,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_30_(0_False_4_Map).js
121,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_31_(0_False_5_Array).js
122,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_32_(0_False_6_try_catch_在_try_块中传递污染数据).js
123,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_33_(0_False_7_在_catch_中意外传递污染数据).js
124,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_34_(0_False_8_通过_finally_块传递).js
125,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_35_(0_False_9_async_await).js
126,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_36_(0_True_10_Array_遍历_forEach_map_reduce).js
127,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_37_(0_True_11_try_catch_在_try_块中传递污染数据).js
128,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_38_(0_True_12_在_catch_中意外传递污染数据).js
